ID_village,City,Subdistrict,Village,Positive,Recovery,Mortality,Vaccine_d1,Vaccine_d2,Vaccine_d3
3101021001,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,148,146,2,1809,1822,1539
3174071007,JAKARTA SELATAN,KEBAYORAN BARU,PULO,1518,1483,13,5006,4843,3451
3175021001,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,4670,4578,54,28775,25881,15749
3175061005,JAKARTA TIMUR,CAKUNG,PULO GEBANG,7803,7635,114,82709,73205,38427
3174041004,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,5984,5852,84,34353,31595,17514
3175091005,JAKARTA TIMUR,CIRACAS,RAMBUTAN,4471,4382,58,30494,26660,13361
3172031006,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,3505,3449,44,35187,30205,14821
3172031004,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,3141,3082,44,29126,25578,12941
3174071005,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,1211,1171,10,4782,4468,3084
3173011003,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,5907,5772,72,54020,48427,25981
3175031004,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,2122,2087,24,17753,15611,7433
3174081003,JAKARTA SELATAN,PANCORAN,RAWA JATI,4612,4538,34,17372,15962,9792
3175061002,JAKARTA TIMUR,CAKUNG,RAWA TERATE,1468,1444,21,21222,18720,9543
3175021005,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,6120,5996,85,31899,29316,17314
3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,5121,5057,41,18570,17109,10253
3173041010,JAKARTA BARAT,TAMBORA,ROA MALAKA,529,517,8,2953,2811,2051
3172041006,JAKARTA UTARA,CILINCING,ROROTAN,3324,3268,44,35449,31068,16040
3174071004,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,846,827,6,2372,2288,1629
3173061002,JAKARTA BARAT,KALI DERES,SEMANAN,4106,4023,56,59425,51526,23551
3172041007,JAKARTA UTARA,CILINCING,SEMPER BARAT,6273,6158,88,58819,52785,29075
3172041005,JAKARTA UTARA,CILINCING,SEMPER TIMUR,3285,3221,49,30874,27014,14518
3174071006,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,1442,1424,2,2214,2073,1292
3171041001,JAKARTA PUSAT,SENEN,SENEN,1638,1606,18,5621,5029,3048
3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,3950,3867,62,25352,23038,12634
3174021001,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,1275,1255,8,2539,2369,1535
3175101005,JAKARTA TIMUR,CIPAYUNG,SETU,3064,3026,18,17364,15570,7867
3173071002,JAKARTA BARAT,PALMERAH,SLIPI,3197,3149,33,14320,13132,7702
3173081004,JAKARTA BARAT,KEMBANGAN,SRENGSENG,6559,6419,77,37776,34189,18943
3174091002,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,7479,7348,91,51479,47652,27258
3173051003,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,3501,3441,37,31246,26601,12584
3173051002,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,4494,4418,51,31892,27263,13811
3172041002,JAKARTA UTARA,CILINCING,SUKAPURA,4690,4591,56,44920,39794,20940
3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,3862,3785,49,19350,18011,10643
3172021004,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,3074,3034,30,25449,22835,11993
3172021006,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,11306,11026,121,62128,58101,38002
3172021002,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,10202,10000,111,54449,50553,30082
3175091004,JAKARTA TIMUR,CIRACAS,SUSUKAN,4555,4462,72,32520,29283,14876
3173031001,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,2418,2356,25,12249,11179,6885
3173041001,JAKARTA BARAT,TAMBORA,TAMBORA,1383,1346,26,8548,7400,4398
3173041004,JAKARTA BARAT,TAMBORA,TANAH SEREAL,3157,3100,27,22996,20578,12886
3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,3213,3145,55,32148,27692,13604
3173031004,JAKARTA BARAT,TAMAN SARI,TANGKI,1928,1878,24,11542,10522,6679
3174091005,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,5744,5602,67,34524,31384,16802
3173021005,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,5521,5402,50,21473,20175,14326
3173021002,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,4125,4024,38,14704,13950,10004
3172021001,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,3303,3247,48,29178,25501,12804
3174011002,JAKARTA SELATAN,TEBET,TEBET BARAT,5487,5376,46,18542,17547,11727
3174011001,JAKARTA SELATAN,TEBET,TEBET TIMUR,4596,4491,43,15910,15312,10596
3173061003,JAKARTA BARAT,KALI DERES,TEGAL ALUR,7011,6874,85,69873,61867,30265
